"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Time","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Object_Count","SD_Object_Count","Metadata_Block","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin"
"64","01","1 kPa","BAe2","07","Day 0","11","25/75","LamininDecorin","LNDN",17,25.1594912508182,"3",0,0,0.25,0,0,0,0,0,0.75
"65","01","1 kPa","BAe2","07","Day 0","12","75/25","Collagen IVLaminin","C4LN",38,7,"3",0,0.75,0.25,0,0,0,0,0,0
"66","01","1 kPa","BAe2","08","Day 0","02","50/50","LamininOsteopontin","LNOPN",29,24.0416305603426,"3",0,0,0.5,0,0,0.5,0,0,0
"67","01","1 kPa","BAe2","08","Day 0","03","25/75","LamininHyaluronic Acid","LNHA",20,22.7156333832011,"3",0,0,0.25,0.75,0,0,0,0,0
"68","01","1 kPa","BAe2","08","Day 0","04","75/25","Collagen IFibronectin","C1FN",55.3333333333333,22.5018517756502,"3",0.75,0,0,0,0,0,0,0.25,0
"69","01","1 kPa","BAe2","08","Day 0","05","50/50","LamininFibronectin","LNFN",19.3333333333333,23.1156512634477,"3",0,0,0.5,0,0,0,0,0.5,0
"70","01","1 kPa","BAe2","08","Day 0","06","75/25","DecorinFibronectin","DNFN",27,26.8700576850888,"3",0,0,0,0,0,0,0,0.25,0.75
"71","01","1 kPa","BAe2","08","Day 0","07","25/75","Collagen IOsteopontin","C1OPN",22,21.3775583264319,"3",0.25,0,0,0,0,0.75,0,0,0
"72","01","1 kPa","BAe2","08","Day 0","08","25/75","OsteopontinDecorin","OPNDN",17.3333333333333,24.8260615751539,"3",0,0,0,0,0,0.25,0,0,0.75
"73","01","1 kPa","BAe2","08","Day 0","09","50/50","Tenascin CDecorin","TCDN",25.3333333333333,20.0333056017556,"3",0,0,0,0,0.5,0,0,0,0.5
"74","01","1 kPa","BAe2","08","Day 0","10","25/75","Collagen IVDecorin","C4DN",24,19.0787840283389,"3",0,0.25,0,0,0,0,0,0,0.75
"75","01","1 kPa","BAe2","08","Day 0","11","100","Laminin","LN",34,10.5830052442584,"3",0,0,1,0,0,0,0,0,0
"76","01","1 kPa","BAe2","08","Day 0","12","100","Fibronectin","FN",20.6666666666667,23.0289672658878,"3",0,0,0,0,0,0,0,1,0
"77","01","1 kPa","BAe2","09","Day 0","02","75/25","Tenascin CFibronectin","TCFN",24,31.1126983722081,"3",0,0,0,0,0.75,0,0,0.25,0
"78","01","1 kPa","BAe2","09","Day 0","03","75/25","LamininDecorin","LNDN",22.6666666666667,21.3853532431273,"3",0,0,0.75,0,0,0,0,0,0.25
"79","01","1 kPa","BAe2","09","Day 0","04","50/50","LamininDecorin","LNDN",20.3333333333333,23.1588715902423,"3",0,0,0.5,0,0,0,0,0,0.5
"80","01","1 kPa","BAe2","10","Day 0","02","25/75","Hyaluronic AcidOsteopontin","HAOPN",36,14.142135623731,"3",0,0,0,0.25,0,0.75,0,0,0
"81","01","1 kPa","BAe2","10","Day 0","03","75/25","Collagen IHyaluronic Acid","C1HA",70.3333333333333,32.316146634977,"3",0.75,0,0,0,0,0.25,0,0,0
"82","01","1 kPa","BAe2","10","Day 0","04","50/50","Collagen IOsteopontin","C1OPN",48.6666666666667,20.1328918273887,"3",0.5,0,0,0,0,0.5,0,0,0
"83","01","1 kPa","BAe2","11","Day 0","02","50/50","Collagen ITenascin C","C1TC",45.6666666666667,7.50555349946513,"3",0.5,0,0,0,0.5,0,0,0,0
"84","01","1 kPa","BAe2","11","Day 0","03","50/50","Collagen IVTenascin C","C4TC",48,4.35889894354067,"3",0,0.5,0,0,0.5,0,0,0,0
"85","01","1 kPa","BAe2","11","Day 0","04","25/75","LamininOsteopontin","LNOPN",46,NA,"3",0,0,0.25,0,0,0.75,0,0,0
"86","01","1 kPa","BAe2","12","Day 0","02","75/25","OsteopontinDecorin","OPNDN",23.5,31.8198051533946,"3",0,0,0,0,0,0.75,0,0,0.25
"87","01","1 kPa","BAe2","12","Day 0","03","50/50","Tenascin CHyaluronic Acid","TCHA",46,NA,"3",0,0,0,0.5,0.5,0,0,0,0
"88","01","1 kPa","BAe2","12","Day 0","04","50/50","Tenascin COsteopontin","TCOPN",29,24.0416305603426,"3",0,0,0,0,0.5,0.5,0,0,0
"89","01","25 kPa","BAAe3","02","Day 0","02","25/75","OsteopontinDecorin","OPNDN",16,NA,"1",0,0,0,0,0,0.25,0,0,0.75
"90","01","25 kPa","BAAe3","02","Day 0","03","50/50","Collagen ICollagen IV","C1C4",92,30.5122926047847,"1",0.5,0.5,0,0,0,0,0,0,0
"91","01","25 kPa","BAAe3","02","Day 0","04","25/75","LamininOsteopontin","LNOPN",15,NA,"1",0,0,0.25,0,0,0.75,0,0,0
"92","01","25 kPa","BAAe3","02","Day 0","05","75/25","Collagen IFibronectin","C1FN",58,12.1243556529821,"1",0.75,0,0,0,0,0,0,0.25,0
"93","01","25 kPa","BAAe3","02","Day 0","06","25/75","Collagen IFibronectin","C1FN",18.3333333333333,8.38649708360608,"1",0.25,0,0,0,0,0,0,0.75,0
"94","01","25 kPa","BAAe3","02","Day 0","07","25/75","Collagen IDecorin","C1DN",22,16.5227116418583,"1",0.25,0,0,0,0,0,0,0,0.75
"95","01","25 kPa","BAAe3","02","Day 0","08","75/25","Hyaluronic AcidDecorin","HADN",1,NA,"1",0,0,0,0.75,0,0,0,0,0.25
"96","01","25 kPa","BAAe3","02","Day 0","09","25/75","Collagen IVTenascin C","C4TC",46,10,"1",0,0.25,0,0,0.75,0,0,0,0
"97","01","25 kPa","BAAe3","02","Day 0","10","25/75","Collagen IVFibronectin","C4FN",61.6666666666667,18.5022521151706,"1",0,0.25,0,0,0,0,0.75,0,0
"98","01","25 kPa","BAAe3","02","Day 0","11","75/25","LamininGalectin 3","LNG3",9,3.60555127546399,"1",0,0,0.75,0,0,0,0.25,0,0
"99","01","25 kPa","BAAe3","02","Day 0","12","75/25","Collagen ITenascin C","C1TC",48.3333333333333,34.4286702231343,"1",0.75,0,0,0,0.25,0,0,0,0
"100","01","25 kPa","BAAe3","03","Day 0","02","100","Fibronectin","FN",14,15.556349186104,"1",0,0,0,0,0,0,0,1,0
"101","01","25 kPa","BAAe3","03","Day 0","03","50/50","LamininFibronectin","LNFN",18.3333333333333,22.2785397486759,"1",0,0,0.5,0,0,0,0,0.5,0
"102","01","25 kPa","BAAe3","03","Day 0","04","25/75","Collagen IVLaminin","C4LN",49.3333333333333,21.0792156716832,"1",0,0.25,0.75,0,0,0,0,0,0
"103","01","25 kPa","BAAe3","03","Day 0","05","50/50","Tenascin COsteopontin","TCOPN",40,55.1543289325507,"1",0,0,0,0,0.5,0.5,0,0,0
"104","01","25 kPa","BAAe3","03","Day 0","06","75/25","Collagen IVTenascin C","C4TC",89.6666666666667,39.677869566464,"1",0,0.75,0,0,0.25,0,0,0,0
"105","01","25 kPa","BAAe3","03","Day 0","07","50/50","Collagen IFibronectin","C1FN",17.3333333333333,12.0968315410827,"1",0.5,0,0,0,0,0,0,0.5,0
"106","01","25 kPa","BAAe3","03","Day 0","08","25/75","Galectin 3Fibronectin","G3FN",4.5,3.53553390593274,"1",0,0,0,0,0,0,0.25,0.75,0
"107","01","25 kPa","BAAe3","03","Day 0","09","25/75","Hyaluronic AcidGalectin 3","HAG3",3,1.4142135623731,"1",0,0,0,0.25,0,0,0.75,0,0
"108","01","25 kPa","BAAe3","03","Day 0","10","75/25","Collagen ICollagen IV","C1C4",73.3333333333333,32.316146634977,"1",0.75,0.25,0,0,0,0,0,0,0
"109","01","25 kPa","BAAe3","03","Day 0","11","25/75","OsteopontinGalectin 3","OPNG3",12,NA,"1",0,0,0,0,0,0.25,0.75,0,0
"110","01","25 kPa","BAAe3","03","Day 0","12","50/50","OsteopontinGalectin 3","OPNG3",7,5.29150262212918,"1",0,0,0,0,0,0.5,0.5,0,0
"111","01","25 kPa","BAAe3","04","Day 0","02","50/50","Collagen IVGalectin 3","C4G3",100,24.576411454889,"1",0,0.5,0,0,0,0,0.5,0,0
"112","01","25 kPa","BAAe3","04","Day 0","03","75/25","Hyaluronic AcidGalectin 3","HAG3",7.5,4.94974746830583,"1",0,0,0,0.75,0,0,0.25,0,0
"113","01","25 kPa","BAAe3","04","Day 0","06","75/25","Tenascin CGalectin 3","TCG3",1.5,0.707106781186548,"1",0,0,0,0,0.75,0,0.25,0,0
"114","01","25 kPa","BAAe3","04","Day 0","07","50/50","Collagen IVTenascin C","C4TC",64,13.228756555323,"1",0,0.5,0,0,0.5,0,0,0,0
"115","01","25 kPa","BAAe3","04","Day 0","08","75/25","Collagen IVHyaluronic Acid","C4HA",67.3333333333333,29.1947483861967,"1",0,0.75,0,0.25,0,0,0,0,0
"116","01","25 kPa","BAAe3","04","Day 0","09","50/50","Tenascin CHyaluronic Acid","TCHA",6.33333333333333,7.50555349946513,"1",0,0,0,0.5,0.5,0,0,0,0
"117","01","25 kPa","BAAe3","04","Day 0","10","75/25","Tenascin COsteopontin","TCOPN",7,NA,"1",0,0,0,0,0.75,0.25,0,0,0
"118","01","25 kPa","BAAe3","04","Day 0","11","50/50","Tenascin CFibronectin","TCFN",8.33333333333333,3.78593889720018,"1",0,0,0,0,0.5,0,0,0.5,0
"119","01","25 kPa","BAAe3","04","Day 0","12","50/50","LamininHyaluronic Acid","LNHA",3.33333333333333,1.52752523165195,"1",0,0,0.5,0.5,0,0,0,0,0
"120","01","25 kPa","BAAe3","05","Day 0","02","75/25","Collagen IHyaluronic Acid","C1HA",51.3333333333333,13.8684293751431,"1",0.75,0,0,0,0,0.25,0,0,0
"121","01","25 kPa","BAAe3","05","Day 0","03","50/50","Collagen IVLaminin","C4LN",85.6666666666667,12.4230967690561,"1",0,0.5,0.5,0,0,0,0,0,0
"122","01","25 kPa","BAAe3","05","Day 0","04","25/75","LamininDecorin","LNDN",5.66666666666667,3.51188458428425,"1",0,0,0.25,0,0,0,0,0,0.75
"123","01","25 kPa","BAAe3","05","Day 0","05","75/25","LamininOsteopontin","LNOPN",25,29.698484809835,"1",0,0,0.75,0,0,0.25,0,0,0
"124","01","25 kPa","BAAe3","05","Day 0","06","25/75","Tenascin COsteopontin","TCOPN",1.5,0.707106781186548,"1",0,0,0,0,0.25,0.75,0,0,0
"125","01","25 kPa","BAAe3","05","Day 0","07","25/75","LamininFibronectin","LNFN",9,NA,"1",0,0,0.25,0,0,0,0,0.75,0
"126","01","25 kPa","BAAe3","05","Day 0","08","25/75","Tenascin CGalectin 3","TCG3",2,1.4142135623731,"1",0,0,0,0,0.25,0,0.75,0,0
"127","01","25 kPa","BAAe3","05","Day 0","09","75/25","LamininHyaluronic Acid","LNHA",4.5,3.53553390593274,"1",0,0,0.75,0.25,0,0,0,0,0
"128","01","25 kPa","BAAe3","05","Day 0","10","50/50","Hyaluronic AcidFibronectin","HAFN",2,0,"1",0,0,0,0.5,0,0,0,0.5,0
"129","01","25 kPa","BAAe3","05","Day 0","11","75/25","Tenascin CFibronectin","TCFN",10,2.82842712474619,"1",0,0,0,0,0.75,0,0,0.25,0
"130","01","25 kPa","BAAe3","05","Day 0","12","50/50","Collagen IVHyaluronic Acid","C4HA",53,18.0277563773199,"1",0,0.5,0,0.5,0,0,0,0,0
"131","01","25 kPa","BAAe3","06","Day 0","02","25/75","Collagen IVHyaluronic Acid","C4HA",67.3333333333333,20.8406653764541,"1",0,0.25,0,0.75,0,0,0,0,0
"132","01","25 kPa","BAAe3","06","Day 0","03","50/50","LamininTenascin C","LNTC",11.6666666666667,6.65832811847939,"1",0,0,0.5,0,0.5,0,0,0,0
"133","01","25 kPa","BAAe3","06","Day 0","04","25/75","Tenascin CFibronectin","TCFN",5,NA,"1",0,0,0,0,0.25,0,0,0.75,0
"134","01","25 kPa","BAAe3","06","Day 0","05","25/75","Collagen IVGalectin 3","C4G3",71,46.6797600679352,"1",0,0.25,0,0,0,0,0.75,0,0
"135","01","25 kPa","BAAe3","06","Day 0","06","50/50","Collagen ILaminin","C1LN",38.3333333333333,10.1159939369957,"1",0.5,0,0.5,0,0,0,0,0,0
"136","01","25 kPa","BAAe3","06","Day 0","07","100","Tenascin C","TC",2,0,"1",0,0,0,0,1,0,0,0,0
"137","01","25 kPa","BAAe3","06","Day 0","08","75/25","Collagen IDecorin","C1DN",44.3333333333333,13.0128141972954,"1",0.75,0,0,0,0,0,0,0,0.25
"138","01","25 kPa","BAAe3","06","Day 0","09","100","Collagen IV","C4",108.666666666667,29.0918086982115,"1",0,1,0,0,0,0,0,0,0
"139","01","25 kPa","BAAe3","06","Day 0","10","50/50","OsteopontinFibronectin","OPNFN",3,1.4142135623731,"1",0,0,0,0,0,0.5,0,0.5,0
"140","01","25 kPa","BAAe3","06","Day 0","11","25/75","Collagen IVDecorin","C4DN",53,26.2868788561898,"1",0,0.25,0,0,0,0,0,0,0.75
"141","01","25 kPa","BAAe3","06","Day 0","12","100","Osteopontin","OPN",6,1.4142135623731,"1",0,0,0,0,0,1,0,0,0
"142","01","25 kPa","BAAe3","07","Day 0","02","75/25","Tenascin CHyaluronic Acid","TCHA",7.33333333333333,7.09459888459759,"1",0,0,0,0.25,0.75,0,0,0,0
"143","01","25 kPa","BAAe3","07","Day 0","04","75/25","Collagen IVLaminin","C4LN",98.3333333333333,41.9563264995082,"1",0,0.75,0.25,0,0,0,0,0,0
"144","01","25 kPa","BAAe3","07","Day 0","05","25/75","Collagen IGalectin 3","C1G3",19.6666666666667,5.68624070307733,"1",0.25,0,0,0,0,0,0.75,0,0
"145","01","25 kPa","BAAe3","07","Day 0","08","25/75","Collagen IVOsteopontin","C4OPN",16,7,"1",0,0.25,0,0,0,0.75,0,0,0
"146","01","25 kPa","BAAe3","07","Day 0","09","50/50","Tenascin CDecorin","TCDN",12.3333333333333,10.2143689640297,"1",0,0,0,0,0.5,0,0,0,0.5
"147","01","25 kPa","BAAe3","07","Day 0","10","25/75","Hyaluronic AcidDecorin","HADN",1.5,0.707106781186548,"1",0,0,0,0.25,0,0,0,0,0.75
"148","01","25 kPa","BAAe3","07","Day 0","11","100","Laminin","LN",5.5,0.707106781186548,"1",0,0,1,0,0,0,0,0,0
"149","01","25 kPa","BAAe3","07","Day 0","12","25/75","Collagen IHyaluronic Acid","C1HA",17.3333333333333,10.1159939369957,"1",0.25,0,0,0.75,0,0,0,0,0
"150","01","25 kPa","BAAe3","08","Day 0","02","25/75","LamininTenascin C","LNTC",8,1.4142135623731,"1",0,0,0.25,0,0.75,0,0,0,0
"151","01","25 kPa","BAAe3","08","Day 0","03","50/50","Tenascin CGalectin 3","TCG3",33,NA,"1",0,0,0,0,0.5,0,0.5,0,0
"152","01","25 kPa","BAAe3","08","Day 0","06","50/50","Galectin 3Fibronectin","G3FN",4,4.24264068711928,"1",0,0,0,0,0,0,0.5,0.5,0
"153","01","25 kPa","BAAe3","08","Day 0","07","75/25","Galectin 3Fibronectin","G3FN",1,NA,"1",0,0,0,0,0,0,0.75,0.25,0
"154","01","25 kPa","BAAe3","08","Day 0","08","100","Galectin 3","G3",2,1.4142135623731,"1",0,0,0,0,0,0,1,0,0
"155","01","25 kPa","BAAe3","08","Day 0","09","75/25","Collagen IOsteopontin","C1OPN",33,34.6410161513775,"1",0.75,0,0,0,0,0.25,0,0,0
"156","01","25 kPa","BAAe3","08","Day 0","10","100","Hyaluronic Acid","HA",4.5,3.53553390593274,"1",0,0,0,1,0,0,0,0,0
"157","01","25 kPa","BAAe3","08","Day 0","12","50/50","LamininGalectin 3","LNG3",2.33333333333333,1.15470053837925,"1",0,0,0.5,0,0,0,0.5,0,0
"158","01","25 kPa","BAAe3","09","Day 0","02","100","Decorin","DN",41,13.114877048604,"1",0,0,0,0,0,0,0,0,1
"159","01","25 kPa","BAAe3","09","Day 0","03","75/25","OsteopontinGalectin 3","OPNG3",3,1,"1",0,0,0,0,0,0.75,0.25,0,0
"160","01","25 kPa","BAAe3","09","Day 0","04","25/75","Collagen ICollagen IV","C1C4",72.3333333333333,17.0391705588427,"1",0.25,0.75,0,0,0,0,0,0,0
"161","01","25 kPa","BAAe3","09","Day 0","05","50/50","OsteopontinDecorin","OPNDN",1,0,"1",0,0,0,0,0,0.5,0,0,0.5
"162","01","25 kPa","BAAe3","09","Day 0","06","75/25","Collagen IVFibronectin","C4FN",73,19.9749843554382,"1",0,0.75,0,0,0,0,0.25,0,0
"163","01","25 kPa","BAAe3","09","Day 0","07","75/25","LamininTenascin C","LNTC",8,8.48528137423857,"1",0,0,0.75,0,0.25,0,0,0,0
"164","01","25 kPa","BAAe3","09","Day 0","08","50/50","Hyaluronic AcidOsteopontin","HAOPN",2,1.4142135623731,"1",0,0,0,0.5,0,0.5,0,0,0
"165","01","25 kPa","BAAe3","09","Day 0","09","25/75","OsteopontinFibronectin","OPNFN",7.66666666666667,4.04145188432738,"1",0,0,0,0,0,0.25,0,0.75,0
"166","01","25 kPa","BAAe3","09","Day 0","10","100","Collagen I","C1",50.3333333333333,25.7164020293145,"1",1,0,0,0,0,0,0,0,0
