Metadata_Row,Metadata_Column,Metadata_ECMs,Metadata_Ratio,Abb_ECMs
07,11,Collagen IVTenascin C,50/50,C4:TC
07,12,Tenascin COsteopontin,75/25,TC:OPN
08,09,Collagen IFibronectin,25/75,C1:FN
08,10,OsteopontinGalectin 3,25/75,OPN:G3
08,11,Hyaluronic Acid,100,HA
09,01,Collagen IVTenascin C,75/25,C4:TC
09,02,Collagen IVLaminin,25/75,C4:LN
09,03,LamininGalectin 3,25/75,LN:G3
09,04,OsteopontinFibronectin,50/50,OPN:FN
10,01,OsteopontinDecorin,25/75,OPN:DN
10,02,LamininGalectin 3,50/50,LN:G3
10,03,Collagen IDecorin,50/50,C1:DN
10,04,Collagen ILaminin,50/50,C1:LN
11,01,Collagen IVFibronectin,25/75,C4:FN
11,02,DecorinFibronectin,75/25,DN:FN
11,03,Collagen IGalectin 3,25/75,C1:G3
11,04,Fibronectin,100,FN
12,01,LamininTenascin C,50/50,LN:TC
12,02,Collagen IVFibronectin,50/50,C4:FN
12,03,Hyaluronic AcidFibronectin,25/75,HA:FN
09,05,Collagen IVGalectin 3,50/50,C4:G3
09,06,Laminin,100,LN
09,07,Collagen ITenascin C,25/75,C1:TC
09,08,Hyaluronic AcidFibronectin,50/50,HA:FN
10,05,DecorinGalectin 3,75/25,DN:G3
10,06,Collagen IVDecorin,50/50,C4:DN
10,07,Collagen IOsteopontin,25/75,C1:OPN
10,08,DecorinFibronectin,25/75,DN:FN
